[1710, 'xxxxxxxx', 'xxxxxxxX', '..', '.', '.', '........', '........', '....', '...', '...', '.......X', 'xxxxxxxxxxxxxxxx']
[1710, 'xxxxxxxx', 'xxxxxxxX', '..', '.', '.', '........', '........', '....', '...', '...', '.......X', 'xxxxxxxxxxxxxxxx']
[1710, 'xxxxxxxx', 'xxxxxxxX', '..', '.', '.', '........', '........', '....', '...', '...', '.......X', 'xxxxxxxxxxxxxxxx']
[1710, 'xxxxxxxx', 'xxxxxxxX', '..', '.', '.', '........', '........', '....', '...', '...', '.......X', 'xxxxxxxxxxxxxxxx']
[41970, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '.......X', 'xxxxxxxxxxxxxxxx']
[41970, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '.......X', 'xxxxxxxxxxxxxxxx']
[41970, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '.......X', 'xxxxxxxxxxxxxxxx']
[41970, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '.......X', 'xxxxxxxxxxxxxxxx']
[41970, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '.......X', 'xxxxxxxxxxxxxxxx']
[41970, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '.......X', 'xxxxxxxxxxxxxxxx']
[41970, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '.......X', 'xxxxxxxxxxxxxxxx']
[41970, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '.......X', 'xxxxxxxxxxxxxxxx']
[41970, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '.......X', 'xxxxxxxxxxxxxxxx']
[49070, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[49070, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[49070, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[49070, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[49070, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[49070, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[49070, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[49070, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[49070, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[57610, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '.......0', '......x.X.']
[57610, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[57610, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[57610, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[57610, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[57610, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[57610, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[57610, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[57610, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[57610, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[64750, '........', '........', '..', '.', '.', '........', '........', '....', '...', '...', '......0.', '.......x.']
[64750, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[64750, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[64750, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[64750, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[64750, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[64750, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[64750, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[64750, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[64750, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
[71490, 'xxxxxxxx', 'xxxxxxxX', 'xx', '.', '.', 'xxxxxxxx', 'xxxxxxxx', '....', '..X', '.xX', '......XX', 'xxxxxxxxxxxxxxxx']
